product_id,product_name,category,price
1,Zenith Elite 1,Books,198.27
2,Aurelia Pro 2,Headphones,1462.78
3,Vertex Pro 3,Gaming Consoles,97.88
4,Lumina Plus 4,Home Decor,1624.82
5,Lumina Elite 5,Laptops,568.46
6,Kronos X 6,Smartphones,982.52
7,Aurelia Elite 7,Kitchen Appliances,380.05
8,Aurelia Elite 8,Gaming Consoles,1263.26
9,Zenith Pro 9,Headphones,587.62
10,Eclipse X 10,Gaming Consoles,74.97
11,Aurelia Plus 11,Smartphones,124.97
12,Eclipse X 12,Laptops,263.12
13,Zenith X 13,Books,269.63
14,Vertex Elite 14,Fitness Gear,404.98
15,Kronos Pro 15,Home Decor,1547.31
16,Vertex Max 16,Home Decor,1311.29
17,Solara Elite 17,Gaming Consoles,1461.14
18,Lumina Elite 18,Books,1341.09
19,Kronos Plus 19,Headphones,905.98
20,Aurelia Max 20,Books,1824.95
21,Zenith Plus 21,Kitchen Appliances,507.69
22,Vertex Max 22,Gaming Consoles,1803.91
23,Kronos Pro 23,Laptops,1670.28
24,NovaTech X 24,Smartphones,269.55
25,Solara Pro 25,Home Decor,145.15
26,Vertex X 26,Books,1492.51
27,Aurelia Pro 27,Laptops,1994.65
28,Solara Pro 28,Smartphones,65.33
29,Solara Pro 29,Headphones,1608.33
30,Kronos Pro 30,Home Decor,705.72
31,Kronos X 31,Home Decor,394.54
32,Kronos Max 32,Home Decor,1967.81
33,Aurelia Pro 33,Fitness Gear,1460.83
34,Zenith Plus 34,Kitchen Appliances,254.27
35,Lumina Pro 35,Headphones,777.47
36,NovaTech Max 36,Smartphones,629.55
37,Solara Max 37,Laptops,1979.54
38,NovaTech Elite 38,Fitness Gear,650.83
39,Vertex Pro 39,Fitness Gear,891.48
40,Lumina Plus 40,Headphones,711.77
41,Zenith Pro 41,Smartphones,1818.7
42,Vertex Pro 42,Laptops,196.96
43,Solara X 43,Smartphones,185.57
44,Lumina Pro 44,Fitness Gear,1865.42
45,Solara Plus 45,Books,458.65
46,Aurelia X 46,Books,1417.89
47,Eclipse X 47,Gaming Consoles,995.45
48,Vertex Max 48,Kitchen Appliances,965.11
49,Eclipse Plus 49,Gaming Consoles,475.35
50,Lumina Elite 50,Headphones,1707.15
51,NovaTech Pro 51,Laptops,690.13
52,Solara Plus 52,Smartphones,906.88
53,Vertex Elite 53,Fitness Gear,657.54
54,Solara Max 54,Home Decor,1848.95
55,Zenith Elite 55,Home Decor,1978.27
56,Zenith Max 56,Headphones,974.1
57,Vertex Elite 57,Smartphones,1647.31
58,Vertex Elite 58,Smartphones,810.99
59,Eclipse Plus 59,Books,1255.3
60,Kronos Pro 60,Smartphones,657.34
61,Lumina Pro 61,Smartphones,467.41
62,Vertex Max 62,Smartphones,1227.57
63,Solara Plus 63,Smartphones,1672.31
64,NovaTech X 64,Smartphones,1125.33
65,Vertex Elite 65,Smartphones,1041.46
66,NovaTech Plus 66,Home Decor,1157.77
67,Zenith Elite 67,Home Decor,762.44
68,Zenith Elite 68,Fitness Gear,1883.81
69,Solara Pro 69,Books,326.02
70,Lumina Pro 70,Laptops,1997.03
71,Eclipse Plus 71,Fitness Gear,759.09
72,Eclipse Plus 72,Headphones,79.99
73,Kronos Pro 73,Fitness Gear,1589.11
74,Kronos Elite 74,Gaming Consoles,1958.15
75,Eclipse X 75,Fitness Gear,1732.77
76,Kronos Max 76,Fitness Gear,1373.7
77,Eclipse X 77,Kitchen Appliances,893.57
78,Lumina X 78,Home Decor,1383.36
79,Lumina Plus 79,Laptops,643.97
80,Eclipse Elite 80,Laptops,1477.1
81,Vertex Elite 81,Smartphones,1291.44
82,Solara Pro 82,Smartphones,851.16
83,Kronos Elite 83,Books,1483.34
84,Solara Max 84,Gaming Consoles,1350.83
85,Lumina Elite 85,Kitchen Appliances,1802.25
86,Eclipse Max 86,Smartphones,593.64
87,NovaTech Pro 87,Gaming Consoles,507.15
88,NovaTech Max 88,Smartphones,1259.3
89,Kronos Plus 89,Headphones,1815.64
90,Aurelia Plus 90,Smartphones,1844.94
91,Eclipse Plus 91,Laptops,1894.86
92,NovaTech Plus 92,Home Decor,1013.72
93,Kronos X 93,Home Decor,1039.42
94,Solara X 94,Gaming Consoles,460.21
95,Kronos Max 95,Kitchen Appliances,672.3
96,Aurelia Pro 96,Headphones,1068.06
97,Lumina Plus 97,Smartphones,180.29
98,Solara X 98,Home Decor,1366.09
99,NovaTech X 99,Kitchen Appliances,500.59
100,Vertex Max 100,Fitness Gear,1901.24
101,Vertex X 101,Books,1362.29
102,Vertex Max 102,Home Decor,829.71
103,Eclipse Elite 103,Fitness Gear,726.62
104,Vertex Plus 104,Smartphones,1070.91
105,Kronos Max 105,Laptops,415.09
106,Kronos Plus 106,Home Decor,1803.18
107,NovaTech X 107,Headphones,1512.11
108,Solara Plus 108,Laptops,1662.78
109,Solara Max 109,Home Decor,1720.44
110,Vertex X 110,Smartphones,1192.17
111,Aurelia Pro 111,Smartphones,906.41
112,Vertex X 112,Books,1800.99
113,Aurelia Plus 113,Books,1833.94
114,Vertex Elite 114,Headphones,1989.57
115,Eclipse X 115,Books,929.3
116,Lumina X 116,Kitchen Appliances,1490.5
117,Lumina Plus 117,Gaming Consoles,1695.66
118,Vertex X 118,Headphones,139.68
119,Zenith Max 119,Kitchen Appliances,644.08
120,Solara Pro 120,Smartphones,567.94
121,Lumina Elite 121,Home Decor,1423.51
122,Aurelia Pro 122,Kitchen Appliances,1374.56
123,Vertex X 123,Home Decor,1310.66
124,Aurelia Max 124,Headphones,248.16
125,Eclipse X 125,Books,1159.2
126,Vertex X 126,Home Decor,705.68
127,Lumina Pro 127,Laptops,771.11
128,Aurelia Pro 128,Smartphones,1024.48
129,Vertex Max 129,Headphones,1200.78
130,Vertex Plus 130,Home Decor,678.93
131,Kronos Elite 131,Gaming Consoles,1609.87
132,Eclipse Pro 132,Gaming Consoles,951.42
133,NovaTech Plus 133,Laptops,1003.4
134,Lumina Plus 134,Smartphones,832.07
135,Aurelia Pro 135,Gaming Consoles,1128.29
136,Zenith Plus 136,Fitness Gear,1421.77
137,Solara Pro 137,Gaming Consoles,1616.26
138,Eclipse Max 138,Smartphones,466.46
139,Vertex Max 139,Smartphones,1206.93
140,Kronos Max 140,Smartphones,1395.3
141,Zenith Elite 141,Smartphones,1042.45
142,Solara Elite 142,Laptops,984.62
143,Vertex Max 143,Gaming Consoles,1535.34
144,NovaTech X 144,Home Decor,512.51
145,Solara Max 145,Smartphones,87.5
146,Lumina Elite 146,Fitness Gear,1387.38
147,Eclipse Pro 147,Kitchen Appliances,761.25
148,NovaTech Plus 148,Fitness Gear,1263.71
149,Eclipse Elite 149,Headphones,540.84
150,Solara Plus 150,Gaming Consoles,1932.69
151,Solara Pro 151,Gaming Consoles,510.16
152,Solara Max 152,Kitchen Appliances,1542.14
153,Aurelia X 153,Home Decor,1341.39
154,Aurelia X 154,Kitchen Appliances,814.2
155,Kronos Max 155,Headphones,1486.75
156,Zenith Plus 156,Headphones,579.46
157,Aurelia Elite 157,Books,108.32
158,Lumina Plus 158,Books,1948.93
159,Zenith Max 159,Fitness Gear,677.47
160,NovaTech X 160,Smartphones,1508.0
161,Zenith Plus 161,Fitness Gear,514.44
162,NovaTech Max 162,Home Decor,673.34
163,Solara X 163,Kitchen Appliances,624.57
164,Kronos Plus 164,Books,1667.86
165,Zenith Pro 165,Home Decor,771.96
166,Kronos Pro 166,Headphones,1251.29
167,Aurelia Pro 167,Laptops,777.01
168,Zenith X 168,Kitchen Appliances,919.86
169,Zenith Plus 169,Fitness Gear,1765.18
170,Lumina Plus 170,Books,1039.94
171,Zenith X 171,Kitchen Appliances,323.52
172,Aurelia Pro 172,Gaming Consoles,1744.35
173,Lumina Elite 173,Books,736.25
174,Aurelia Pro 174,Kitchen Appliances,411.89
175,Aurelia Max 175,Headphones,464.67
176,Zenith X 176,Laptops,1759.67
177,NovaTech Max 177,Books,1210.39
178,Kronos Elite 178,Laptops,228.01
179,Eclipse Elite 179,Laptops,1452.97
180,Vertex Elite 180,Headphones,1906.54
181,Aurelia X 181,Gaming Consoles,436.19
182,Eclipse X 182,Headphones,1333.78
183,Aurelia Plus 183,Home Decor,357.62
184,NovaTech Elite 184,Books,248.72
185,Vertex Elite 185,Gaming Consoles,1284.65
186,Zenith Pro 186,Gaming Consoles,163.47
187,Kronos Pro 187,Headphones,1214.34
188,Kronos Plus 188,Fitness Gear,562.16
189,Lumina Plus 189,Gaming Consoles,721.58
190,Vertex Max 190,Fitness Gear,1660.88
191,Eclipse Elite 191,Fitness Gear,637.37
192,Vertex Plus 192,Laptops,822.63
193,Aurelia X 193,Kitchen Appliances,556.43
194,Kronos X 194,Smartphones,178.62
195,Lumina Plus 195,Home Decor,378.07
196,NovaTech Pro 196,Laptops,195.0
197,Vertex Elite 197,Home Decor,815.42
198,Lumina Plus 198,Smartphones,844.58
199,Eclipse Max 199,Gaming Consoles,805.13
200,Zenith X 200,Books,1793.26
201,Aurelia Plus 201,Headphones,113.01
202,Zenith Max 202,Headphones,409.56
203,Eclipse Plus 203,Gaming Consoles,1576.38
204,NovaTech Pro 204,Headphones,954.62
205,Eclipse Max 205,Books,1805.82
206,Lumina Elite 206,Laptops,668.91
207,Vertex X 207,Kitchen Appliances,1862.88
208,Vertex X 208,Headphones,592.54
209,Solara Plus 209,Home Decor,1748.5
210,Kronos Plus 210,Laptops,801.91
211,Aurelia X 211,Books,203.08
212,Aurelia Elite 212,Home Decor,1548.89
213,Solara Plus 213,Gaming Consoles,212.59
214,Kronos Plus 214,Headphones,440.94
215,Lumina Pro 215,Kitchen Appliances,596.0
216,Solara Pro 216,Headphones,853.6
217,Eclipse Elite 217,Headphones,929.58
218,Solara X 218,Laptops,1002.0
219,Eclipse Plus 219,Headphones,451.63
220,Aurelia X 220,Headphones,394.06
221,Aurelia Elite 221,Kitchen Appliances,1688.58
222,Solara Elite 222,Headphones,663.35
223,Solara Pro 223,Gaming Consoles,1238.54
224,Aurelia Elite 224,Gaming Consoles,944.08
225,Lumina Elite 225,Gaming Consoles,703.11
226,Kronos Pro 226,Gaming Consoles,1921.6
227,Lumina Pro 227,Laptops,975.36
228,Vertex Max 228,Gaming Consoles,1182.26
229,Vertex Pro 229,Kitchen Appliances,930.07
230,NovaTech Elite 230,Smartphones,549.38
231,Kronos Max 231,Home Decor,752.96
232,Eclipse X 232,Laptops,508.0
233,Lumina X 233,Smartphones,899.82
234,Vertex Max 234,Headphones,1252.15
235,Lumina Pro 235,Smartphones,1826.98
236,Eclipse Elite 236,Headphones,698.56
237,Vertex Elite 237,Laptops,1009.09
238,NovaTech Elite 238,Kitchen Appliances,1511.32
239,Solara Max 239,Laptops,232.24
240,Eclipse Elite 240,Home Decor,406.09
241,Kronos X 241,Fitness Gear,1267.82
242,Lumina X 242,Headphones,1974.93
243,Aurelia Plus 243,Headphones,1711.4
244,Vertex Plus 244,Fitness Gear,1301.81
245,Zenith Plus 245,Laptops,329.44
246,Solara Plus 246,Headphones,1504.6
247,Zenith Max 247,Kitchen Appliances,783.09
248,Solara Pro 248,Headphones,1363.04
249,Vertex Pro 249,Home Decor,1407.97
250,NovaTech Max 250,Fitness Gear,753.81
251,Zenith Elite 251,Books,1791.87
252,Eclipse Elite 252,Gaming Consoles,1385.27
253,Zenith Plus 253,Home Decor,1900.43
254,Eclipse Pro 254,Gaming Consoles,1177.46
255,Kronos X 255,Kitchen Appliances,1550.94
256,Vertex Plus 256,Fitness Gear,910.02
257,Lumina Max 257,Home Decor,1511.44
258,NovaTech Plus 258,Laptops,420.96
259,Zenith Plus 259,Smartphones,1344.05
260,Vertex X 260,Smartphones,1757.97
261,Vertex Plus 261,Home Decor,1613.13
262,NovaTech X 262,Books,80.75
263,Vertex Max 263,Gaming Consoles,1304.81
264,Aurelia Elite 264,Smartphones,1456.87
265,Aurelia Pro 265,Books,996.16
266,Vertex Pro 266,Gaming Consoles,406.75
267,Zenith Plus 267,Fitness Gear,204.02
268,Solara Elite 268,Headphones,656.12
269,Eclipse Plus 269,Home Decor,203.42
270,Kronos Elite 270,Laptops,190.48
271,NovaTech Pro 271,Books,791.05
272,Vertex X 272,Kitchen Appliances,1577.31
273,Eclipse Pro 273,Headphones,1871.17
274,Aurelia Max 274,Headphones,1968.12
275,Aurelia Pro 275,Laptops,133.47
276,Kronos Pro 276,Smartphones,1890.73
277,Vertex Pro 277,Fitness Gear,1627.41
278,Aurelia Pro 278,Laptops,1975.86
279,Aurelia Elite 279,Kitchen Appliances,481.61
280,Kronos Pro 280,Gaming Consoles,1900.59
281,NovaTech Pro 281,Home Decor,751.87
282,Aurelia Max 282,Laptops,498.12
283,Aurelia Plus 283,Kitchen Appliances,872.15
284,Eclipse X 284,Books,1282.08
285,Solara Plus 285,Laptops,284.14
286,Lumina X 286,Laptops,1287.4
287,Kronos Max 287,Gaming Consoles,239.83
288,Lumina Elite 288,Home Decor,1984.11
289,Solara Max 289,Books,1870.07
290,Eclipse X 290,Home Decor,1108.04
291,Eclipse Plus 291,Headphones,682.04
292,Aurelia Plus 292,Fitness Gear,1105.96
293,Vertex Plus 293,Headphones,1213.55
294,Aurelia Plus 294,Smartphones,1893.24
295,Kronos Max 295,Kitchen Appliances,1813.4
296,Kronos Pro 296,Laptops,295.96
297,Zenith Pro 297,Smartphones,1711.63
298,Zenith Elite 298,Home Decor,173.13
299,Eclipse Pro 299,Laptops,1417.2
300,Solara X 300,Smartphones,1155.88
301,Kronos Pro 301,Laptops,639.97
302,Kronos Plus 302,Gaming Consoles,1186.4
303,Kronos Pro 303,Gaming Consoles,264.94
304,NovaTech Plus 304,Fitness Gear,1272.55
305,Kronos Plus 305,Smartphones,915.44
306,Aurelia Max 306,Kitchen Appliances,786.91
