customer_id,name,region
1,Customer_1,South
2,Customer_2,South
3,Customer_3,West
4,Customer_4,North
5,Customer_5,South
6,Customer_6,West
7,Customer_7,West
8,Customer_8,West
9,Customer_9,North
10,Customer_10,South
11,Customer_11,West
12,Customer_12,East
13,Customer_13,North
14,Customer_14,North
15,Customer_15,North
16,Customer_16,North
17,Customer_17,East
18,Customer_18,South
19,Customer_19,East
20,Customer_20,East
21,Customer_21,East
22,Customer_22,West
23,Customer_23,West
24,Customer_24,South
25,Customer_25,West
26,Customer_26,East
27,Customer_27,South
28,Customer_28,West
29,Customer_29,East
30,Customer_30,South
31,Customer_31,South
32,Customer_32,North
33,Customer_33,East
34,Customer_34,South
35,Customer_35,West
36,Customer_36,South
37,Customer_37,West
38,Customer_38,North
39,Customer_39,North
40,Customer_40,South
41,Customer_41,South
42,Customer_42,North
43,Customer_43,North
44,Customer_44,South
45,Customer_45,North
46,Customer_46,North
47,Customer_47,East
48,Customer_48,East
49,Customer_49,North
50,Customer_50,North
51,Customer_51,East
52,Customer_52,South
53,Customer_53,North
54,Customer_54,East
55,Customer_55,North
56,Customer_56,North
57,Customer_57,West
58,Customer_58,North
59,Customer_59,North
60,Customer_60,South
61,Customer_61,West
62,Customer_62,South
63,Customer_63,East
64,Customer_64,West
65,Customer_65,West
66,Customer_66,East
67,Customer_67,South
68,Customer_68,West
69,Customer_69,East
70,Customer_70,North
71,Customer_71,West
72,Customer_72,South
73,Customer_73,North
74,Customer_74,West
75,Customer_75,East
76,Customer_76,North
77,Customer_77,South
78,Customer_78,West
79,Customer_79,East
80,Customer_80,East
81,Customer_81,South
82,Customer_82,West
83,Customer_83,East
84,Customer_84,North
85,Customer_85,East
86,Customer_86,East
87,Customer_87,East
88,Customer_88,East
89,Customer_89,West
90,Customer_90,West
91,Customer_91,North
92,Customer_92,East
93,Customer_93,South
94,Customer_94,West
95,Customer_95,West
96,Customer_96,East
97,Customer_97,South
98,Customer_98,North
99,Customer_99,South
100,Customer_100,East
101,Customer_101,North
102,Customer_102,South
103,Customer_103,East
104,Customer_104,South
105,Customer_105,East
106,Customer_106,West
107,Customer_107,South
108,Customer_108,East
109,Customer_109,North
110,Customer_110,South
111,Customer_111,East
112,Customer_112,East
113,Customer_113,North
114,Customer_114,East
